x,y,z,pos
240,38,2443,MC
321,-58,2032,MC
134,-8,1836,MC
236,-59,1473,MC
78,-24,1597,MC
355,-7,2789,MC
925,736,2730,TL
-5398,-145,687,TL
-676,-96,7098,TL
1373,-454,-22686,TL
-170,1224,11321,TL
3827,-422,13396,TL
-974,1278,-18088,TL
304,-93,-2582,TL
-605,-4930,8198,TL
-5559,3041,-4410,TL
-2279,-1132,4811,TL
1422,-1488,3055,TL
990,3456,-591,TL
-3614,-1671,9293,TL
4167,1939,20371,TL
834,-2055,-16783,TL
72,807,-13181,TL
-414,1198,20358,TL
3982,0,8287,TL
475,849,-16577,TL
-730,-194,1277,TL
2283,-2395,23526,TL
-1466,1002,-11162,TL
98,654,176,TL
1786,-1584,12202,TL
-2927,-116,-4190,TL
-99,1336,-1543,TL
493,-1216,6386,TL
2116,28,10817,TL
445,-620,-5508,TL
-1081,915,735,TL
1583,640,10127,TL
-980,114,-2320,TL
1287,275,3820,TL
1353,-229,4345,TL
-1313,-571,-3509,TL
398,942,4326,TL
203,-376,414,TL
1645,-699,2503,TL
-891,1666,-359,TL
-1255,-366,4040,TL
1527,-993,5604,TL
-735,1014,-3858,TL
258,-232,1361,TL
826,81,5033,TL
150,630,1198,TL
-704,-266,5063,TL
130,155,5695,TL
23,-985,-8013,TL
-395,364,-440,TL
694,257,11705,TL
858,-97,5813,TL
-1084,771,-4331,TL
388,-317,-430,TL
1547,-634,3184,TL
-146,173,3298,TL
19,128,3629,TL
175,-467,-296,TL
845,-429,2140,TL
781,65,3076,TL
-1221,705,-962,TL
797,344,3166,TL
869,-70,511,TL
344,251,3964,TL
-183,408,-106,TL
314,-599,1793,TL
642,-216,988,TL
-60,189,496,TL
777,-486,3713,TL
-487,172,2635,TL
287,204,196,TL
298,231,-1817,TL
-384,265,4642,TL
566,-180,7009,TL
-348,220,-403,TL
485,-14,1557,TL
-167,-453,894,TL
213,17,1155,TL
471,-312,1176,TL
511,11,5191,TL
-599,477,-3710,TL
159,184,-533,TL
880,-295,5285,TL
-124,67,3197,TL
-17,248,45,TL
209,-454,2506,TL
566,-387,3714,TL
-104,231,184,TL
142,140,1030,TL
182,-43,1481,TL
337,103,2371,TL
95,315,2507,TL
575,-194,1979,TL
250,37,-875,TL
-232,177,-30,TL
389,-186,6138,TL
203,-95,3468,TL
191,190,1108,TL
182,-422,349,TL
120,-327,410,TL
446,261,2021,TL
-450,375,2848,TL
715,-279,4654,TL
740,-172,-912,TL
-354,315,-1053,TL
595,-112,4887,TL
203,-175,2602,TL
401,-50,1455,TL
-220,69,1938,TL
190,-158,2463,TL
643,-162,187,TL
-87,260,243,TL
366,-13,2920,TL
161,238,2147,TL
215,-9,2404,TL
255,-340,2109,TL
444,-108,269,TL
206,-182,601,TL
65,41,3990,TL
274,45,3467,TL
362,70,1010,TL
-264,231,-555,TL
344,-304,1805,TL
419,-48,2969,TL
-89,180,2714,TL
314,-211,2566,TL
187,-162,561,TL
287,-85,989,TL
125,-56,2193,TL
529,-102,2869,TL
91,93,915,TL
-87,197,1324,TL
532,-70,2491,TL
60,49,1433,TL
0,-28,2143,TL
346,-208,2265,TL
221,-13,2163,TL
178,-85,2300,TL
44,76,883,TL
396,-51,943,TL
222,8,2166,TL
94,210,2844,TL
337,46,2259,TL
302,25,801,TL
14,-5,761,TL
292,48,2852,TL
276,-121,3194,TL
141,-88,1809,TL
141,108,-55,TL
411,-35,1615,TL
170,93,2473,TL
-39,163,1927,TL
449,-45,2650,TL
272,-40,1490,TL
24,-40,953,TL
318,43,2183,TL
222,-8,2239,TL
182,-125,2520,TL
38,155,1312,TL
44,141,1235,TL
508,-147,2692,TL
171,109,969,TL
312,65,2028,TL
285,3,3098,TL
159,16,2495,TL
228,18,1248,TL
246,-20,1132,TL
283,-179,1693,TL
49,106,1784,TL
209,130,2951,TL
314,-135,2635,TL
70,56,400,TL
166,8,694,TL
401,-49,2916,TL
114,31,2604,TL
122,8,1830,TL
302,18,1755,TL
119,-121,1608,TL
274,-115,1729,TL
200,57,1833,TL
336,-85,2723,TL
14,109,1474,TL
215,0,1757,TL
331,-120,1770,TL
58,-85,1609,TL
264,-50,1955,TL
189,9,2141,TL
321,-66,2808,TL
73,-19,963,TL
163,23,1021,TL
371,-114,2285,TL
145,0,2345,TL
134,84,1995,TL
277,-19,1680,TL
217,-63,1405,TL
215,-30,2052,TL
361,-46,2413,TL
107,-87,2132,TL
187,3,1440,TL
131,26,1215,TL
-2877,1443,-19640,MC
-1445,-1926,6586,MC
24,-791,24709,MC
-8977,769,-5739,MC
3134,1040,9755,MC
958,-183,9217,MC
-3426,294,-8067,MC
-1267,-1114,-5795,MC
-18,1018,-1503,MC
446,-4213,-176,MC
-2655,932,4462,MC
-126,173,2153,MC
986,320,-5730,MC
-251,671,-2899,MC
-4575,1056,3101,MC
6204,633,18661,MC
-1779,-2879,-13193,MC
949,-208,1468,MC
-1258,1650,10813,MC
-299,170,-6925,MC
3974,-872,4451,MC
174,998,1503,MC
-871,429,-1703,MC
-1826,141,3530,MC
1536,-542,9462,MC
792,-540,6025,MC
-1896,6,-7456,MC
1669,938,-4010,MC
-1578,-356,3664,MC
2103,-607,13844,MC
572,1253,-1483,MC
-558,-471,-10599,MC
-863,-86,7192,MC
442,-417,8717,MC
72,-857,-5663,MC
-345,-28,-2214,MC
460,937,4038,MC
-159,-781,731,MC
78,681,1227,MC
586,150,7220,MC
1339,-316,2407,MC
-2339,979,-9266,MC
915,-24,3815,MC
2612,-462,10877,MC
-1924,555,1445,MC
1116,-178,-1904,MC
-432,-362,-1148,MC
891,-464,10174,MC
988,-417,830,MC
-1144,20,-5164,MC
1352,-460,105,MC
25,672,6455,MC
746,480,7303,MC
-329,475,-1503,MC
581,-624,-1265,MC
-249,-135,1131,MC
600,-709,7803,MC
236,-24,2969,MC
-277,-329,-3335,MC
280,-398,464,MC
705,507,2844,MC
532,993,2642,MC
-482,244,4143,MC
1179,-337,2608,MC
-129,92,-4409,MC
-38,208,4327,MC
381,-428,3080,MC
552,-261,-2085,MC
-23,-40,153,MC
113,350,3737,MC
641,248,2495,MC
-116,698,122,MC
205,-182,1683,MC
132,39,867,MC
917,-16,4285,MC
-162,-541,2286,MC
158,-361,2438,MC
755,-339,-1667,MC
-350,126,621,MC
316,37,6115,MC
65,194,1851,MC
1043,340,-355,MC
-504,296,-271,MC
663,56,7656,MC
191,-38,4686,MC
-264,-339,167,MC
544,-704,-849,MC
89,-418,1136,MC
-78,213,4347,MC
164,178,1574,MC
338,190,585,MC
260,272,1256,MC
-69,205,2459,MC
611,-5,2970,MC
34,-158,2384,MC
124,-541,991,MC
-102,-127,1170,MC
477,-51,3827,MC
-24,-61,3051,MC
247,115,-1358,MC
-139,383,94,MC
211,451,3323,MC
353,289,5687,MC
30,-59,1202,MC
525,-194,627,MC
-318,-223,178,MC
320,-353,4034,MC
439,-94,3811,MC
-81,62,1504,MC
172,72,137,MC
-98,284,45,MC
629,138,2746,MC
330,131,3194,MC
83,150,1925,MC
282,-41,836,MC
63,-190,1902,MC
210,-309,2787,MC
208,-86,1223,MC
193,-140,784,MC
